date,open,high,low,close,volume,vwap,transactions,BID_open,BID_high,BID_low,BID_close,BID_volume_millions,ASK_open,ASK_high,ASK_low,ASK_close,ASK_volume_millions
2025-01-16 23:00:00,155.171,155.403,155.153,155.367,2731.0,155.2793,2731,155.158,155.4,155.157,155.364,5890.6298828125,155.192,155.41,155.187,155.374,5133.080078125
2025-01-17 00:00:00,155.361,155.484,154.976,155.182,6947.0,155.2344,6947,155.363,155.48,154.977,155.183,26822.41015625,155.372,155.492,154.985,155.193,21364.689453125
2025-01-17 01:00:00,155.185,155.374,155.138,155.208,5895.0,155.2411,5895,155.185,155.37,155.141,155.211,23238.41015625,155.192,155.382,155.151,155.223,16387.23046875
2025-01-17 02:00:00,155.214,155.464,155.154,155.43,5344.0,155.3162,5344,155.211,155.463,155.158,155.431,17180.7109375,155.222,155.469,155.167,155.438,11704.0703125
2025-01-17 03:00:00,155.43,155.46,155.34,155.441,4318.0,155.4101,4318,155.432,155.462,155.346,155.443,15299.150390625,155.44,155.468,155.355,155.451,7749.93994140625
2025-01-17 04:00:00,155.442,155.494,155.365,155.385,3465.0,155.4394,3465,155.442,155.494,155.365,155.386,12875.73046875,155.451,155.501,155.372,155.394,6974.18994140625
2025-01-17 05:00:00,155.389,155.687,155.359,155.562,4557.0,155.5275,4557,155.387,155.687,155.362,155.563,17735.76953125,155.394,155.695,155.369,155.569,12401.9599609375
2025-01-17 06:00:00,155.562,155.75,155.517,155.639,4522.0,155.6437,4522,155.562,155.737,155.519,155.641,15613.4296875,155.569,155.747,155.529,155.651,11314.150390625
2025-01-17 07:00:00,155.644,155.78,155.52,155.61,6037.0,155.6364,6037,155.638,155.771,155.527,155.615,21636.9609375,155.641,155.776,155.531,155.619,16672.669921875
2025-01-17 08:00:00,155.613,155.721,155.405,155.7,6050.0,155.5592,6050,155.615,155.722,155.407,155.702,23811.80078125,155.621,155.729,155.414,155.707,21302.0390625
2025-01-17 09:00:00,155.701,155.846,155.4,155.72,6919.0,155.6845,6919,155.703,155.847,155.408,155.734,26332.240234375,155.708,155.852,155.416,155.741,19805.240234375
2025-01-17 10:00:00,155.735,155.782,155.607,155.769,5265.0,155.6963,5265,155.734,155.783,155.607,155.772,16360.58984375,155.742,155.788,155.614,155.779,13310.1796875
2025-01-17 11:00:00,155.776,155.802,155.632,155.689,4757.0,155.6933,4757,155.772,155.801,155.634,155.692,17227.23046875,155.78,155.811,155.64,155.698,14459.91015625
2025-01-17 12:00:00,155.69,155.748,155.58,155.715,5551.0,155.6736,5551,155.693,155.751,155.587,155.718,20724.359375,155.698,155.757,155.594,155.726,17223.880859375
2025-01-17 13:00:00,155.711,155.717,155.553,155.684,7092.0,155.6261,7092,155.719,155.719,155.554,155.685,27005.4609375,155.725,155.725,155.56,155.69,28719.8203125
2025-01-17 14:00:00,155.685,156.2,155.649,156.04,10233.0,155.9158,10233,155.685,156.192,155.651,156.043,42791.75,155.691,156.2,155.657,156.049,37259.05078125
2025-01-17 15:00:00,156.045,156.137,155.773,156.103,10144.0,155.9678,10144,156.043,156.137,155.776,156.105,40742.1484375,156.05,156.145,155.78,156.11,38660.19921875
2025-01-17 16:00:00,156.104,156.373,156.098,156.3,7905.0,156.2304,7905,156.105,156.372,156.1,156.303,34184.4296875,156.11,156.378,156.106,156.309,40696.1015625
2025-01-17 17:00:00,156.298,156.341,156.221,156.257,5604.0,156.2799,5604,156.304,156.34,156.224,156.257,21372.349609375,156.309,156.348,156.23,156.263,17832.880859375
2025-01-17 18:00:00,156.256,156.286,156.12,156.185,4540.0,156.1889,4540,156.26,156.286,156.124,156.186,15945.3603515625,156.263,156.29,156.131,156.192,11195.2001953125
2025-01-17 19:00:00,156.186,156.229,156.1,156.143,3677.0,156.1744,3677,156.185,156.228,156.128,156.144,13526.4501953125,156.191,156.236,156.137,156.15,10359.1396484375
2025-01-17 20:00:00,156.144,156.192,156.099,156.144,3496.0,156.1421,3496,156.142,156.192,156.103,156.146,10709.75,156.15,156.201,156.105,156.154,10807.33984375
2025-01-17 21:00:00,156.148,156.31,156.117,156.293,2579.0,156.2246,2579,156.145,156.311,156.123,156.241,5053.18017578125,156.156,156.365,156.134,156.359,5094.5498046875
2025-01-19 22:00:00,156.19,156.344,156.19,156.309,111.0,156.3164,111,156.187,156.351,156.154,156.283,2298.9599609375,156.34,156.38,156.314,156.333,1620.4200439453125
2025-01-19 23:00:00,156.301,156.579,156.291,156.305,2282.0,156.4008,2282,156.278,156.58,156.225,156.306,8127.0,156.328,156.59,156.286,156.317,9033.6396484375
2025-01-20 00:00:00,156.304,156.356,155.976,155.98,3927.0,156.1419,3927,156.313,156.358,155.98,155.981,19524.44921875,156.316,156.369,155.989,155.99,14905.3603515625
2025-01-20 01:00:00,155.992,156.103,155.858,155.92,4409.0,155.9788,4409,155.982,156.106,155.86,155.921,19442.150390625,155.99,156.114,155.871,155.931,18319.939453125
2025-01-20 02:00:00,155.924,156.049,155.878,155.935,4994.0,155.9728,4994,155.92,156.047,155.885,155.935,13551.080078125,155.931,156.057,155.893,155.944,13999.6103515625
2025-01-20 03:00:00,155.936,155.961,155.7,155.738,4596.0,155.82,4596,155.936,155.964,155.707,155.739,10293.5498046875,155.945,155.971,155.713,155.747,7736.830078125
2025-01-20 04:00:00,155.738,156.026,155.727,155.97,3647.0,155.8646,3647,155.739,156.025,155.729,155.97,10643.3896484375,155.746,156.036,155.735,155.977,10474.58984375
2025-01-20 05:00:00,155.969,156.063,155.89,156.056,3800.0,155.985,3800,155.969,156.063,155.892,156.058,14093.9296875,155.979,156.071,155.901,156.066,11426.1103515625
2025-01-20 06:00:00,156.059,156.194,156.006,156.192,4366.0,156.1006,4366,156.058,156.196,156.011,156.194,16322.0302734375,156.065,156.203,156.019,156.202,11303.25
2025-01-20 07:00:00,156.193,156.283,155.958,155.988,5380.0,156.1411,5380,156.195,156.281,155.959,155.99,21459.51953125,156.202,156.29,155.968,155.998,17687.439453125
2025-01-20 08:00:00,155.987,156.179,155.94,156.151,5841.0,156.0817,5841,155.99,156.182,155.95,156.153,21966.029296875,155.997,156.188,155.957,156.159,18136.099609375
2025-01-20 09:00:00,156.155,156.361,156.129,156.282,5382.0,156.2583,5382,156.153,156.362,156.13,156.28,19845.380859375,156.16,156.367,156.138,156.29,15764.0595703125
2025-01-20 10:00:00,156.281,156.402,156.224,156.371,4428.0,156.3109,4428,156.283,156.404,156.23,156.372,16578.609375,156.29,156.411,156.238,156.377,12495.0595703125
2025-01-20 11:00:00,156.367,156.457,156.313,156.339,4141.0,156.3824,4141,156.371,156.456,156.315,156.341,14289.240234375,156.377,156.463,156.324,156.351,10487.240234375
2025-01-20 12:00:00,156.338,156.456,156.276,156.373,4831.0,156.3649,4831,156.341,156.456,156.28,156.374,18931.9296875,156.349,156.464,156.286,156.381,14448.58984375
2025-01-20 13:00:00,156.376,156.466,155.716,155.719,9891.0,156.0429,9891,156.376,156.46,155.717,155.719,23716.33984375,156.381,156.475,155.725,155.731,43715.01953125
2025-01-20 14:00:00,155.72,155.909,155.405,155.545,11929.0,155.6232,11929,155.72,155.911,155.415,155.544,30978.16015625,155.731,155.921,155.419,155.555,25553.650390625
2025-01-20 15:00:00,155.546,155.928,155.522,155.686,9884.0,155.7247,9884,155.545,155.927,155.523,155.687,16689.400390625,155.556,155.938,155.535,155.695,22816.029296875
2025-01-20 16:00:00,155.689,155.721,155.596,155.678,5639.0,155.6618,5639,155.687,155.722,155.596,155.678,8829.599609375,155.694,155.731,155.603,155.692,7441.14990234375
2025-01-20 17:00:00,155.679,156.064,155.63,155.831,6477.0,155.8195,6477,155.678,156.056,155.623,155.824,12513.9501953125,155.691,156.067,155.64,155.834,17600.560546875
2025-01-20 18:00:00,155.818,155.895,155.682,155.689,2904.0,155.8081,2904,155.821,155.895,155.69,155.693,4389.60986328125,155.834,155.906,155.701,155.703,4249.14013671875
2025-01-20 19:00:00,155.693,155.771,155.581,155.631,2997.0,155.7053,2997,155.689,155.774,155.591,155.633,6227.8798828125,155.705,155.783,155.6,155.646,6226.830078125
2025-01-20 20:00:00,155.64,155.64,155.482,155.6,3139.0,155.5763,3139,155.637,155.639,155.491,155.604,5291.16015625,155.646,155.652,155.502,155.618,5196.02001953125
2025-01-20 21:00:00,155.607,155.722,155.499,155.59,4072.0,155.6351,4072,155.606,155.714,155.508,155.629,8899.2998046875,155.618,155.732,155.519,155.642,9206.0
2025-01-20 22:00:00,155.555,155.672,155.479,155.646,587.0,155.6207,587,155.449,155.646,155.449,155.634,1023.1300048828124,155.681,155.801,155.638,155.688,966.989990234375
2025-01-20 23:00:00,155.643,155.649,155.156,155.272,5116.0,155.3795,5116,155.628,155.648,155.159,155.271,8603.5595703125,155.678,155.691,155.172,155.284,9107.4697265625
2025-01-21 00:00:00,155.274,156.24,154.897,156.022,9325.0,155.3111,9325,155.272,156.232,154.9,156.017,21406.830078125,155.286,156.26,154.908,156.034,21115.900390625
2025-01-21 01:00:00,156.021,156.186,155.45,155.534,9762.0,155.7901,9762,156.016,156.19,155.462,155.539,22220.4609375,156.033,156.2,155.474,155.55,24265.05078125
2025-01-21 02:00:00,155.533,155.577,154.948,155.134,7244.0,155.2009,7244,155.539,155.575,154.948,155.133,17583.109375,155.551,155.586,154.957,155.145,17606.470703125
2025-01-21 03:00:00,155.135,155.243,154.768,155.182,6432.0,155.0013,6432,155.134,155.24,154.772,155.182,15305.3701171875,155.145,155.251,154.779,155.193,14767.330078125
2025-01-21 04:00:00,155.185,155.187,154.947,155.058,4450.0,155.0725,4450,155.183,155.187,154.951,155.062,10201.330078125,155.193,155.196,154.962,155.073,9525.48046875
